1_P1,1_P2,1_T,1_F,1_CV,1_X,1_PV,Juice temperature inlet,Juice temperature outlet,Juice density inlet,Juice density outlet,Steam flow,Steam pressure,Steam temperature,Vapour pressure,Vapour temperature,2_P1,2_P2,2_T,2_PV,2_CV,2_X,3_P1,3_P2,3_T,3_F,3_CV,3_X,3_PV,3_Steam flow,3_Steam pressure,3_Steam temperature,drifting
653.5,338.7,96.9,345.1,34.7,34.8,48.6,129.3,134.5,12.8,26.4,65.2,261.1,139.0,174.5,133.5,495.5,169.7,94.5,52.6,71.9,71.7,3461.8,2658.9,99.5,29.4,49.4,45.0,50.7,13.9,2475.2,396.3,0
645.7,336.8,97.0,349.9,34.9,33.5,48.8,129.3,134.5,12.8,26.3,64.5,260.6,138.9,174.6,133.5,495.2,169.5,94.5,52.7,72.2,71.4,3495.0,2612.0,99.6,26.8,54.4,48.9,51.4,13.9,2476.2,396.3,0
637.6,335.0,97.0,353.0,34.8,33.7,48.3,129.3,134.5,12.8,26.3,64.8,260.9,139.0,174.4,133.5,495.0,169.2,94.5,52.5,72.4,71.4,3504.8,2636.4,99.5,21.9,53.6,53.6,50.1,13.9,2476.2,396.3,0
639.6,335.8,96.9,356.2,34.3,33.7,48.5,129.3,134.5,12.8,26.4,64.8,260.9,139.0,174.7,133.5,495.0,169.7,94.5,52.7,72.2,71.1,3512.6,2636.4,99.5,21.5,52.0,53.9,50.4,14.0,2476.2,396.3,0
635.2,343.1,97.0,357.4,34.4,33.6,48.2,129.3,134.5,12.8,26.4,65.0,261.5,139.0,174.5,133.5,495.7,169.5,94.5,52.0,72.1,71.7,3518.4,2650.1,99.5,22.5,50.2,53.0,50.8,13.9,2476.2,396.5,0
635.4,341.1,97.0,359.3,34.1,33.3,48.8,129.3,134.5,12.8,26.4,65.4,260.9,139.0,174.5,133.5,495.5,169.5,94.6,52.6,72.5,71.4,3509.6,2654.0,99.5,25.3,49.5,50.3,50.5,13.9,2475.2,396.5,0
634.9,345.8,97.0,360.7,35.1,33.0,48.7,129.3,134.5,12.8,26.4,64.6,261.0,139.0,174.5,133.5,496.5,169.2,94.5,51.8,71.9,72.1,3518.4,2650.1,99.5,28.7,48.9,48.5,49.4,14.0,2477.2,396.3,0
639.6,343.1,97.0,360.6,34.7,33.5,49.2,129.3,134.5,12.8,26.4,64.6,260.8,139.0,174.7,133.5,496.5,169.2,94.5,51.1,71.7,72.2,3543.8,2612.9,99.5,28.4,55.0,49.4,50.7,14.0,2477.2,396.2,0
641.8,344.6,96.9,359.7,35.4,34.1,49.0,129.3,134.5,12.8,26.3,65.4,260.7,138.9,174.5,133.4,496.0,169.5,94.5,51.4,72.3,72.2,3518.4,2638.3,99.5,23.5,53.6,55.1,50.8,14.0,2475.2,396.3,0
645.2,339.2,97.0,357.0,35.0,33.7,49.2,129.3,134.5,12.8,26.2,65.0,260.9,139.0,174.5,133.5,496.0,169.7,94.5,51.8,71.9,71.6,3498.9,2643.2,99.5,24.8,53.2,53.6,51.3,14.0,2476.2,396.3,0
645.2,343.6,97.0,355.9,35.4,34.7,49.3,129.3,134.5,12.8,26.3,63.5,260.8,139.0,174.6,133.5,496.5,169.2,94.5,51.4,71.9,71.9,3483.3,2638.3,99.5,24.5,51.4,52.5,50.2,13.9,2477.2,396.3,0
645.9,336.3,97.0,355.6,35.2,35.2,49.2,129.3,134.5,12.8,26.6,64.4,261.1,138.9,174.4,133.5,496.9,169.7,94.6,51.8,72.1,72.0,3482.3,2655.9,99.5,24.3,51.1,51.5,50.3,13.9,2475.2,396.3,0
644.9,338.9,97.0,354.9,35.6,34.5,49.1,129.3,134.5,12.8,26.8,64.6,260.7,138.9,174.5,133.5,496.0,169.2,94.5,52.5,72.0,71.7,3485.2,2643.2,99.5,24.4,51.6,50.8,49.5,13.9,2477.2,396.2,0
647.1,331.4,97.0,354.7,34.7,34.3,48.4,129.3,134.5,12.8,26.8,64.1,260.8,138.9,174.5,133.5,495.2,169.7,94.5,52.6,72.1,71.8,3511.6,2645.2,99.5,22.5,48.1,52.8,49.4,13.9,2476.2,396.3,0
646.6,340.2,96.9,354.1,34.3,34.4,48.8,129.3,134.5,12.8,26.7,64.6,260.7,138.9,174.4,133.5,495.0,169.7,94.5,52.8,72.5,71.3,3532.1,2654.0,99.5,24.3,47.9,51.7,51.0,14.0,2476.2,396.3,0
640.5,341.9,96.9,354.2,35.0,34.1,49.0,129.3,134.5,12.8,26.6,64.3,260.8,138.9,174.5,133.5,495.7,169.5,94.5,52.3,72.5,71.4,3527.2,2658.9,99.5,29.1,55.3,47.4,48.8,14.0,2477.2,396.3,0
643.5,336.3,97.0,355.3,35.4,33.3,49.6,129.3,134.5,12.8,26.6,64.5,260.6,138.9,174.5,133.5,495.7,169.7,94.5,51.5,72.1,72.1,3556.5,2619.8,99.5,25.1,56.5,51.7,49.3,13.8,2477.2,396.3,0
646.4,336.0,96.9,355.4,36.0,34.4,49.1,129.3,134.5,12.8,26.6,64.9,260.9,138.9,174.5,133.5,496.2,169.5,94.5,51.7,72.1,72.1,3531.1,2631.5,99.5,22.6,54.6,56.4,49.5,14.0,2476.2,396.5,0
652.3,334.6,96.9,354.3,35.5,34.7,49.4,129.3,134.5,12.8,26.6,64.9,261.0,139.0,174.5,133.5,495.7,169.2,94.5,51.4,71.7,71.8,3518.4,2622.7,99.5,23.4,56.0,54.8,51.5,13.9,2476.2,396.3,0
651.3,331.6,97.0,350.7,35.5,34.9,48.7,129.3,134.5,12.8,26.5,64.8,261.0,139.0,174.7,133.5,496.9,169.5,94.5,51.6,71.6,71.9,3525.3,2641.3,99.6,23.0,40.9,55.6,50.4,13.9,2477.2,396.3,0
647.1,339.9,97.0,349.8,34.4,34.7,48.7,129.3,134.5,12.8,26.5,64.3,260.6,139.0,174.5,133.5,495.2,169.5,94.6,52.5,72.1,71.7,3490.1,2654.0,99.5,24.7,46.4,53.2,49.3,13.9,2478.1,396.3,0
640.5,345.5,97.0,352.3,34.8,34.2,48.8,129.3,134.5,12.8,26.5,65.2,260.9,139.0,174.5,133.5,494.3,169.7,94.5,52.9,72.0,71.6,3473.5,2661.8,99.5,27.2,45.1,48.0,52.2,14.0,2476.2,396.3,0
634.7,345.1,97.0,356.3,34.6,34.0,49.0,129.3,134.5,12.8,26.4,64.7,260.8,139.0,174.5,133.5,494.3,169.7,94.5,52.8,72.7,71.7,3495.0,2661.8,99.5,28.7,55.8,45.3,49.7,13.8,2477.2,396.5,0
636.4,341.9,97.0,357.9,35.0,33.6,48.8,129.3,134.5,12.8,26.3,65.9,260.6,138.9,174.5,133.5,495.7,169.5,94.5,52.3,72.2,71.4,3553.6,2639.3,99.5,23.1,43.9,53.5,48.7,14.1,2476.2,396.3,0
644.0,343.3,96.9,357.4,34.4,34.6,48.3,129.3,134.5,12.8,26.2,64.9,260.7,139.0,174.7,133.5,495.5,169.7,94.5,51.8,72.2,71.7,3522.3,2652.0,99.6,21.2,42.6,55.4,50.7,13.8,2477.2,396.5,0
640.8,338.7,97.0,356.4,34.1,34.2,48.4,129.3,134.5,12.8,26.2,65.3,260.7,138.9,174.7,133.5,496.0,169.5,94.5,51.6,72.2,71.7,3480.3,2661.8,99.6,24.8,47.9,50.2,50.5,14.0,2477.2,396.3,0
637.1,347.0,97.0,356.7,33.7,34.2,47.9,129.3,134.5,12.8,26.2,64.3,260.9,139.0,174.6,133.5,495.7,169.7,94.5,51.8,72.0,71.9,3459.8,2654.0,99.6,28.8,47.8,46.1,51.0,14.0,2478.1,396.5,0
629.8,349.5,97.0,360.0,33.5,32.7,48.5,129.3,134.5,12.8,26.1,64.9,260.9,138.9,174.5,133.5,496.0,169.5,94.5,52.1,71.9,71.8,3471.6,2658.9,99.6,29.0,45.1,47.8,50.4,14.2,2477.2,396.5,0
626.1,354.1,97.0,363.2,34.3,32.8,48.4,129.3,134.5,12.8,26.0,65.2,261.2,138.9,174.4,133.5,495.2,169.5,94.5,52.0,72.0,71.8,3513.6,2630.5,99.6,28.7,50.5,47.2,50.4,14.1,2476.2,396.2,0
633.0,351.2,97.0,366.4,34.5,33.0,49.0,129.3,134.5,12.8,26.1,65.1,261.3,139.0,174.5,133.5,494.7,169.5,94.5,52.3,72.1,71.8,3533.1,2651.0,99.6,25.9,49.7,50.3,49.2,14.0,2476.2,396.2,0
640.0,347.0,97.0,364.1,34.8,33.7,48.4,129.3,134.5,12.8,26.2,65.2,261.0,138.9,174.5,133.5,494.7,169.5,94.6,52.9,72.3,71.8,3520.4,2659.8,99.6,26.3,47.6,49.2,49.8,13.9,2477.2,396.3,0
642.0,342.9,97.0,360.1,34.0,34.1,48.7,129.3,134.5,12.8,26.3,65.4,261.1,139.0,174.5,133.5,496.0,169.7,94.5,52.7,72.3,71.6,3482.3,2671.6,99.6,27.5,40.1,46.5,50.1,14.0,2476.2,396.3,0
640.8,347.0,97.0,358.6,34.7,34.0,48.7,129.3,134.5,12.8,26.4,64.3,260.7,139.0,174.7,133.5,495.5,169.7,94.5,52.1,72.3,71.6,3456.9,2671.6,99.6,31.6,54.5,42.8,48.6,14.0,2477.2,396.3,0
636.1,338.7,97.0,358.7,34.3,33.5,48.9,129.3,134.5,12.8,26.5,64.8,261.0,138.9,174.7,133.5,496.0,169.5,94.5,51.8,72.1,71.7,3497.9,2645.2,99.6,27.3,36.2,51.0,46.9,14.1,2477.2,396.3,0
633.5,345.3,96.9,359.3,35.1,33.7,48.6,129.2,134.5,12.8,26.4,65.1,261.1,139.0,174.7,133.5,496.7,169.5,94.6,51.8,72.1,71.9,3492.1,2661.8,99.5,25.7,44.7,52.3,49.5,14.0,2476.2,396.3,0
638.3,344.1,97.0,360.7,34.1,33.7,48.2,129.3,134.5,12.8,26.4,64.9,260.9,138.9,174.7,133.5,496.0,169.5,94.5,52.1,71.8,71.9,3462.8,2669.6,99.6,27.2,54.2,47.4,49.7,13.9,2478.1,396.3,0
635.2,344.3,97.0,360.3,33.7,33.5,48.2,129.3,134.5,12.8,26.4,65.0,261.0,139.0,174.5,133.5,496.7,169.2,94.5,52.1,72.0,71.8,3518.4,2634.4,99.5,23.2,51.7,51.0,51.2,14.0,2477.2,396.3,0
629.8,355.6,97.0,360.7,33.1,33.4,47.8,129.3,134.5,12.8,26.3,64.9,261.0,139.0,174.6,133.5,495.5,169.5,94.5,51.8,71.8,72.0,3538.0,2651.0,99.6,21.3,51.2,54.3,49.7,14.0,2477.2,396.3,0
625.4,364.8,97.0,363.7,33.2,32.4,48.0,129.3,134.5,12.8,26.3,65.0,261.2,139.0,174.5,133.5,495.7,169.5,94.6,52.3,72.1,71.8,3540.9,2627.6,99.6,22.6,53.8,52.5,51.8,14.1,2477.2,396.5,0
620.0,358.0,97.0,366.8,33.1,32.6,47.7,129.3,134.5,12.8,26.4,64.5,260.5,139.0,174.5,133.5,495.0,169.5,94.5,52.3,72.0,71.6,3535.0,2650.1,99.6,23.0,42.6,53.5,48.6,13.9,2477.2,396.3,0
622.0,363.6,97.0,369.0,33.2,32.3,48.1,129.3,134.5,12.8,26.5,65.3,261.1,138.9,174.5,133.5,494.5,169.7,94.5,52.6,72.6,71.6,3529.2,2634.4,99.5,26.2,56.9,51.1,50.1,14.0,2476.2,396.3,0
619.5,356.3,97.0,369.7,33.6,32.4,47.5,129.3,134.5,12.8,26.5,64.9,260.8,138.9,174.5,133.5,495.0,169.5,94.5,52.3,72.4,71.6,3561.4,2608.1,99.6,21.4,61.7,57.5,52.8,14.0,2478.1,396.3,0
628.1,351.4,97.0,369.5,32.5,32.6,48.0,129.3,134.4,12.8,26.6,65.0,260.8,139.0,174.5,133.5,496.5,169.5,94.5,51.8,72.0,72.0,3555.6,2622.7,99.5,18.9,57.2,61.9,51.0,14.0,2477.2,396.3,0
626.1,351.6,97.0,369.2,33.2,32.8,47.9,129.3,134.5,12.8,26.6,64.9,260.5,139.0,174.6,133.5,496.7,169.2,94.7,51.5,71.9,71.9,3519.4,2638.3,99.6,20.3,51.2,59.2,49.4,14.1,2476.2,396.3,0
619.5,356.0,97.0,368.6,33.2,32.5,48.2,129.3,134.4,12.8,26.7,64.4,260.8,138.9,174.5,133.5,496.2,169.5,94.5,51.9,71.9,71.8,3499.9,2654.0,99.6,23.2,53.4,54.8,50.2,14.0,2477.2,396.6,0
618.8,355.8,97.0,369.6,33.6,32.3,47.9,129.3,134.4,12.8,26.6,64.8,260.8,139.0,174.7,133.5,496.5,169.5,94.5,51.9,71.9,71.9,3501.8,2645.2,99.5,25.0,59.5,53.0,51.8,14.0,2478.1,396.3,0
624.2,356.3,97.0,370.2,32.8,32.8,47.8,129.3,134.5,12.8,26.6,65.0,260.8,138.9,174.5,133.5,496.2,169.7,94.4,51.5,71.6,71.7,3548.7,2626.6,99.5,19.9,47.0,59.3,49.8,13.9,2478.1,396.3,0
621.2,352.4,97.0,370.0,33.2,32.8,48.0,129.3,134.4,12.8,26.6,64.5,260.5,138.9,174.5,133.5,495.0,169.5,94.5,52.0,71.8,71.6,3546.8,2642.2,99.5,19.6,50.8,59.2,48.9,13.9,2477.2,396.3,0
617.8,356.3,97.0,370.7,33.0,32.4,48.0,129.3,134.4,12.8,26.6,64.9,261.0,138.9,174.5,133.5,495.0,169.5,94.5,52.6,72.1,71.7,3546.8,2653.0,99.5,22.3,54.2,54.2,50.2,13.9,2477.2,396.3,0
614.2,350.2,97.0,371.3,33.3,32.6,48.3,129.3,134.4,12.8,26.7,64.6,260.6,139.0,174.5,133.5,494.7,169.7,94.5,52.8,72.3,71.7,3530.2,2658.9,99.5,22.9,50.1,53.2,49.4,13.9,2477.2,396.3,0
623.2,353.6,97.0,372.2,33.4,32.6,47.9,129.3,134.4,12.8,26.6,64.8,260.7,138.9,174.4,133.5,494.5,169.2,94.5,52.6,72.5,71.9,3525.3,2620.8,99.5,24.8,53.4,49.4,48.6,14.1,2477.2,396.5,0
625.9,349.0,97.0,371.1,33.2,32.8,48.3,129.3,134.4,12.8,26.6,64.6,260.7,138.9,174.5,133.5,496.0,169.5,94.5,52.2,71.9,72.0,3522.3,2615.9,99.5,22.9,56.8,53.9,49.9,14.0,2479.1,396.2,0
626.1,350.9,97.0,370.2,33.7,32.8,48.2,129.3,134.4,12.8,26.6,64.3,261.0,138.9,174.4,133.5,496.5,169.5,94.5,51.9,72.3,72.0,3498.9,2627.6,99.5,21.5,45.0,56.6,50.7,14.2,2477.2,396.3,0
624.4,350.9,97.0,370.0,33.5,32.8,48.8,129.3,134.4,12.8,26.6,64.7,260.9,139.0,174.5,133.5,496.2,169.5,94.5,51.6,72.0,71.9,3485.2,2646.2,99.5,22.7,51.4,54.7,52.6,14.0,2477.2,396.5,0
630.8,351.4,97.0,369.1,34.4,33.0,48.5,129.3,134.4,12.8,26.6,65.2,261.1,138.9,174.5,133.5,496.5,169.7,94.5,51.8,72.3,71.9,3486.2,2645.2,99.5,26.5,52.4,50.7,51.0,14.3,2477.2,396.3,0
632.7,343.6,97.0,365.2,34.0,33.8,48.8,129.3,134.4,12.8,26.6,65.1,261.0,138.9,174.4,133.5,496.2,169.5,94.6,51.6,71.7,71.6,3529.2,2649.1,99.5,26.3,53.6,52.4,50.2,14.0,2478.1,396.3,0
632.0,344.8,97.0,363.2,34.2,33.5,48.5,129.3,134.4,12.8,26.6,64.9,261.0,138.9,174.4,133.5,496.0,169.5,94.6,51.8,72.0,71.9,3548.7,2634.4,99.5,24.4,57.0,54.0,49.6,14.0,2478.1,396.5,0
630.8,354.3,97.0,362.8,33.8,32.9,48.8,129.3,134.4,12.8,26.5,64.3,260.8,138.9,174.5,133.5,494.5,169.5,94.5,52.6,72.1,71.7,3554.6,2633.5,99.5,20.9,46.3,56.8,50.7,14.1,2478.1,396.3,0
629.3,351.9,97.0,363.5,34.8,32.6,49.1,129.3,134.4,12.8,26.5,66.0,260.9,139.0,174.4,133.5,494.7,169.5,94.5,52.5,72.4,71.4,3517.5,2645.2,99.5,20.3,46.0,56.9,51.6,14.2,2478.1,396.3,0
638.6,350.9,97.0,363.7,34.9,33.2,49.2,129.3,134.4,12.8,26.4,65.5,261.2,138.9,174.5,133.5,495.2,169.5,94.5,52.8,72.6,71.4,3486.2,2652.0,99.5,22.1,44.1,52.7,49.9,14.3,2478.1,396.3,0
644.9,342.6,97.0,361.4,35.2,34.2,49.2,129.3,134.4,12.8,26.2,64.9,261.0,138.9,174.6,133.5,496.7,169.2,94.5,51.8,72.2,72.1,3482.3,2634.4,99.5,24.8,51.5,48.7,51.2,14.2,2478.1,396.3,0
643.7,337.5,97.0,356.9,34.6,34.7,48.6,129.3,134.4,12.8,26.2,64.4,261.2,138.9,174.4,133.5,496.9,169.5,94.5,51.7,71.7,72.2,3500.9,2646.2,99.4,23.4,52.3,51.9,50.9,14.2,2478.1,396.2,0
642.0,345.3,97.0,355.7,34.2,34.6,48.8,129.3,134.4,12.8,26.4,65.0,260.6,139.0,174.5,133.5,496.5,169.5,94.5,51.8,71.7,72.0,3505.7,2609.0,99.5,23.5,62.3,52.0,50.7,14.1,2478.1,396.3,0
633.7,348.5,97.0,356.0,34.4,33.8,48.5,129.3,134.4,12.8,26.4,65.2,261.1,138.9,174.4,133.5,494.3,169.5,94.5,52.3,71.5,71.7,3553.6,2617.8,99.5,18.3,46.3,61.8,50.0,14.2,2477.2,396.3,0
637.9,349.9,97.0,358.9,34.2,33.5,49.4,129.3,134.4,12.8,26.4,65.5,261.1,139.0,174.5,133.5,494.5,169.7,94.6,52.9,72.1,71.5,3560.4,2643.2,99.5,19.7,38.7,60.8,47.8,14.3,2478.1,396.3,0
639.1,344.1,97.0,360.9,35.3,33.3,49.4,129.3,134.4,12.8,26.4,65.5,261.3,138.9,174.6,133.5,494.0,169.5,94.5,53.1,72.5,71.6,3584.9,2656.9,99.5,24.8,42.0,55.2,48.7,14.2,2476.2,396.2,0
643.2,331.1,97.0,360.8,35.2,33.8,49.6,129.3,134.4,12.8,26.8,65.2,260.8,138.9,174.6,133.5,496.7,169.7,94.5,51.7,72.3,71.5,3553.6,2666.7,99.5,28.4,50.2,51.1,48.7,14.2,2478.1,396.2,0
650.1,328.9,97.0,357.8,35.7,34.5,49.0,129.3,134.4,12.8,26.8,64.6,260.7,138.9,174.4,133.5,496.5,169.2,94.5,52.2,71.8,72.0,3542.9,2647.1,99.5,28.8,47.0,49.4,48.0,14.1,2478.1,396.3,0
647.9,325.8,97.0,354.0,34.3,34.8,49.1,129.3,134.4,12.8,26.7,66.8,261.1,139.0,174.4,133.5,496.9,169.5,94.5,51.5,72.2,71.6,3526.3,2656.9,99.5,26.4,49.5,50.8,49.4,14.2,2477.2,396.3,0
645.2,330.9,97.0,352.5,35.1,35.0,49.2,129.3,134.4,12.8,26.7,65.1,260.8,139.0,174.5,133.5,496.2,169.2,94.7,52.0,71.9,71.9,3497.9,2649.1,99.6,25.7,49.5,48.0,50.6,14.1,2478.1,396.3,0
641.0,335.3,97.0,353.4,34.9,34.2,49.3,129.3,134.4,12.8,26.7,65.6,261.1,138.9,174.4,133.5,495.5,169.5,94.5,51.8,72.3,71.7,3519.4,2657.9,99.6,25.1,49.2,50.8,48.9,14.2,2478.1,396.5,0
639.1,332.4,97.0,354.8,35.3,34.2,49.3,129.3,134.4,12.8,26.6,64.6,261.0,139.0,174.5,133.5,495.5,169.2,94.6,52.1,71.7,71.7,3547.7,2612.9,99.6,26.0,57.6,51.3,49.1,14.0,2478.1,396.3,0
642.0,337.7,97.0,355.7,34.8,34.1,49.0,129.3,134.4,12.8,26.5,64.7,260.9,138.9,174.5,133.5,495.7,169.5,94.5,52.6,72.2,71.8,3571.2,2643.2,99.6,21.4,59.9,58.7,51.0,14.2,2477.2,396.3,0
642.0,343.8,97.0,355.4,34.5,34.0,49.0,129.3,134.4,12.8,26.5,64.9,260.8,139.0,174.5,133.5,494.7,169.7,94.6,52.2,72.1,71.8,3585.8,2631.5,99.6,21.2,53.6,59.9,48.7,14.2,2477.2,396.3,0
637.1,341.1,97.0,356.0,34.4,34.1,48.4,129.3,134.4,12.8,26.5,64.8,261.0,139.0,174.4,133.5,495.0,170.0,94.5,52.3,72.4,71.5,3557.5,2652.0,99.6,23.5,34.9,56.2,48.6,14.1,2478.1,396.3,0
629.5,348.5,97.0,357.9,33.7,33.9,48.8,129.3,134.4,12.8,26.4,65.6,261.0,139.0,174.5,133.5,496.0,169.2,94.5,52.6,72.6,71.5,3508.7,2655.9,99.6,26.6,47.8,52.6,50.9,14.3,2478.1,396.3,0
626.9,352.4,97.0,361.9,34.1,32.9,48.4,129.3,134.4,12.8,26.3,65.6,261.0,138.9,174.5,133.5,496.9,169.2,94.5,51.5,72.2,72.5,3471.6,2658.9,99.6,27.5,60.4,47.4,51.2,14.0,2477.2,396.5,0
629.1,348.2,97.0,364.7,33.8,32.7,48.9,129.2,134.4,12.8,26.3,65.1,261.1,138.9,174.7,133.5,496.5,169.2,94.5,51.1,71.6,72.0,3535.0,2618.8,99.6,20.8,55.4,55.0,48.7,14.0,2479.1,396.3,0
629.8,343.1,97.0,364.7,34.3,33.1,48.4,129.3,134.4,12.8,26.2,64.9,261.1,138.9,174.5,133.5,495.0,169.2,94.5,52.8,71.9,71.5,3535.0,2646.2,99.7,18.2,61.0,58.0,49.1,14.1,2477.2,396.3,0
633.7,350.9,97.0,364.0,33.9,33.5,48.8,129.3,134.4,12.8,26.2,64.8,260.8,139.0,174.5,133.5,494.0,169.7,94.6,53.3,72.2,71.5,3579.0,2626.6,99.6,17.2,51.0,59.1,52.5,14.0,2480.1,396.3,0
636.6,345.8,97.0,363.1,34.3,33.0,48.6,129.3,134.4,12.8,26.2,64.2,260.5,139.0,174.7,133.5,494.7,169.7,94.6,52.8,72.5,71.6,3592.7,2636.4,99.6,16.8,49.5,62.0,51.9,14.1,2478.1,396.3,0
634.4,347.3,97.0,362.3,33.6,33.2,48.7,129.3,134.4,12.8,26.2,64.7,261.0,138.9,174.5,133.5,495.7,169.2,94.5,51.6,72.4,72.2,3575.1,2648.1,99.6,20.3,44.3,56.6,49.8,14.1,2478.1,396.3,0
627.6,348.7,97.0,362.0,34.3,32.8,48.8,129.3,134.4,12.8,26.1,65.0,260.9,138.9,174.6,133.5,496.7,169.5,94.5,51.4,71.6,72.2,3553.6,2644.2,99.7,23.7,54.1,52.6,49.5,14.2,2478.1,396.2,0
631.3,346.8,97.0,362.5,33.8,32.8,48.7,129.3,134.3,12.8,26.1,64.5,261.0,138.9,174.5,133.5,496.5,169.2,94.5,51.6,72.0,72.0,3556.5,2644.2,99.7,23.7,54.1,52.6,49.5,14.2,2478.1,396.2,0
633.0,348.5,97.1,363.2,34.3,32.9,48.9,129.3,134.4,12.8,26.1,64.7,261.2,138.9,174.6,133.5,496.9,169.7,94.6,51.6,71.9,71.7,3544.8,2631.5,99.7,20.3,52.6,58.0,50.4,14.3,2478.1,396.5,0
633.7,352.1,97.0,363.5,34.4,33.3,48.5,129.3,134.4,12.8,26.2,64.4,261.3,139.0,174.5,133.5,496.2,169.5,94.5,51.8,71.5,71.9,3537.0,2652.0,99.7,22.7,50.6,56.4,49.9,14.1,2478.1,396.2,0
629.8,344.1,97.0,363.5,34.0,33.2,48.7,129.3,134.4,12.8,26.3,64.9,260.7,139.0,174.7,133.5,495.0,169.7,94.5,52.9,72.5,71.7,3525.3,2650.1,99.7,27.0,53.0,51.6,50.4,14.2,2477.2,396.2,0
635.4,347.3,97.0,363.4,34.0,33.1,48.4,129.3,134.4,12.8,26.4,65.0,261.0,138.9,174.6,133.5,495.0,169.5,94.6,52.6,72.4,71.6,3549.7,2645.2,99.8,25.8,51.7,54.0,50.2,14.1,2479.1,396.2,0
635.4,347.3,97.0,363.4,34.0,33.1,48.4,129.3,134.4,12.8,26.4,65.0,261.0,138.9,174.6,133.5,495.0,169.5,94.6,52.6,72.4,71.6,3549.7,2645.2,99.8,25.8,51.7,54.0,50.2,14.1,2479.1,396.2,0
633.0,346.0,97.1,363.1,33.7,33.3,48.9,129.2,134.4,12.8,26.4,64.8,261.0,138.9,174.5,133.5,495.0,169.7,94.6,52.0,72.2,72.1,3550.7,2649.1,99.8,25.7,46.1,52.9,50.2,14.2,2477.2,396.3,0
627.4,350.2,97.0,363.5,34.5,32.6,48.7,129.2,134.4,12.8,26.4,64.8,261.0,138.9,174.5,133.5,496.0,169.5,94.6,51.7,71.7,72.2,3531.1,2674.5,99.8,28.2,41.7,48.5,49.4,14.2,2477.2,396.2,0
631.3,350.2,97.0,364.3,34.0,32.6,49.1,129.2,134.4,12.8,26.4,65.2,261.3,138.9,174.6,133.5,496.5,169.5,94.6,51.9,72.0,71.7,3517.5,2686.2,99.7,31.2,42.0,43.5,51.9,14.1,2477.2,396.2,0
